,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,reviewYear,reviewLength,meaningfulWords,Title
2366,A1N49TOJZFG48H,076400459X,"Benstarbuck ""Hammer + Jazz""","[1, 1]","this is the JOHN BOORMAN i love . the director of ""DELIVERANCE"" and ""THE EMERALD FOREST"" in addition to this excellent and haunting film . in his twin outstanding lead actors , a very thoughtful screenplay and breathtaking photography and direction , it all comes together for me . i withhold the fifth star as i am conflicted about the ending . that was john's artistic choice though . i don't do alternate endings .",4,another side of a great filmaker,1216944000,"07 25, 2008",2008,417,"['JOHN', 'BOORMAN', 'love', 'director', 'DELIVERANCE', 'THE', 'EMERALD', 'FOREST', 'addition', 'excellent', 'haunting', 'film', 'twin', 'outstanding', 'lead', 'actors', 'very', 'thoughtful', 'screenplay', 'breathtaking', 'photography', 'direction', 'together', 'i', 'withhold', 'fifth', 'star', 'i', 'am', 'conflicted', 'ending', 'was', 'john', 'artistic', 'choice', 'i', 'do', ""n't"", 'do', 'alternate', 'endings']",N/A
2367,A1GHUN5HXMHZ89,076400459X,"C. A. Luster ""The Rook""","[19, 23]","Similiarities to the Enemy Mine movie could be made here. Perhaps the Enemy Mine writer got the idea from this story. Two men stranded on a Island rather than a planet in this case. As WWII rages a Japanese and American soldier are stranded on the same small island. They try to kill each other at first. As time goes by they realize their very survival depends on a truce. Eventually they work together and build a raft. After days on the Pacific Ocean they find another larger group of islands. The uneasy truce becomes shaky again when they find remnants of Japanese and American occupation of the main island. Up to this point an excellent movie. In fact I was say close to flawless movie since the acting, sets, scenery, music, directing and all the rest are incredible. SPOILER ALERT: Now the reason I didn't give it four or five stars is because they kill them off with a single stray artillery shell in the original ending. You will be enthralled with the wonderful acting and really care for these two characters. Then to suddenly watch their lifes snuffed out just so some writer or director could make their point that war is bad didn't impress me. If someone didn't think we get that point long before the ending of this movie, they don't give much credit to the audience. Why they didn't use the alternate ending with the soldiers walking off their separate ways is beyond me. Be sure to look at the alternate ending and see if you agree this should have been the original ending. Still well worth owning.",3,Survival Nightmare,1104105600,"12 27, 2004",2004,1518,"['Similiarities', 'Enemy', 'Mine', 'movie', 'could', 'be', 'made', 'here', 'Perhaps', 'Enemy', 'Mine', 'writer', 'got', 'idea', 'story', 'Two', 'men', 'stranded', 'Island', 'rather', 'planet', 'case', 'WWII', 'Japanese', 'American', 'soldier', 'are', 'stranded', 'same', 'small', 'island', 'try', 'kill', 'other', 'first', 'time', 'realize', 'very', 'survival', 'truce', 'Eventually', 'work', 'together', 'build', 'raft', 'days', 'Pacific', 'Ocean', 'find', 'larger', 'group', 'islands', 'uneasy', 'truce', 'shaky', 'again', 'when', 'find', 'remnants', 'Japanese', 'American', 'occupation', 'main', 'island', 'Up', 'point', 'excellent', 'movie', 'fact', 'was', 'say', 'close', 'flawless', 'movie', 'acting', 'sets', 'scenery', 'music', 'directing', 'rest', 'are', 'incredible', 'SPOILER', 'ALERT', 'Now', 'reason', 'did', ""n't"", 'give', 'four', 'five', 'stars', 'kill', 'off', 'single', 'stray', 'artillery', 'shell', 'original', 'ending', 'will', 'be', 'enthralled', 'wonderful', 'acting', 'really', 'care', 'two', 'characters', 'Then', 'suddenly', 'watch', 'lifes', 'snuffed', 'out', 'just', 'so', 'writer', 'director', 'could', 'make', 'point', 'war', 'bad', 'did', ""n't"", 'impress', 'someone', 'did', ""n't"", 'think', 'get', 'point', 'long', 'ending', 'movie', 'do', ""n't"", 'give', 'much', 'credit', 'audience', 'Why', 'did', ""n't"", 'use', 'alternate', 'ending', 'soldiers', 'walking', 'off', 'separate', 'ways', 'Be', 'sure', 'look', 'alternate', 'ending', 'see', 'agree', 'should', 'have', 'been', 'original', 'ending', 'Still', 'well', 'worth', 'owning']",N/A
2368,A1U5GZHG035PXH,076400459X,"Charles E. Weaver, Jr. ""racingman""","[0, 0]","I really enjoyed this movie many years ago when it first came out.  Just recently found it on Amazon at a very low price.  If you recall, the movie has a sad ending but to my surprise the DVD has two filmed ending.  The other is not sad.  This shows how fruitless war can be.",5,A Treasure,1281052800,"08 6, 2010",2010,275,"['really', 'enjoyed', 'movie', 'many', 'years', 'ago', 'when', 'first', 'came', 'out', 'Just', 'recently', 'found', 'Amazon', 'very', 'low', 'price', 'recall', 'movie', 'sad', 'ending', 'surprise', 'DVD', 'two', 'filmed', 'ending', 'other', 'not', 'sad', 'how', 'fruitless', 'war', 'can', 'be']",N/A
2369,A2HA9JM6BW0433,076400459X,Clockwork Apple,"[4, 4]","I am surprised that this movie is not more well known. I just happened to borrow a copy on VHS from my aunt, and the movie simply blew my mind. It shows another side of WW2 and really blasts apart the stereotypes of the Japanese soldier portrayed in American propaganda films and also the American soldier as many Japanese were led to believe. The movie pretty much goes like this : Lee Marvin crashes into the ocean somewhere in the pacific and ends up on an island with the enemy, a Japanese soldier. Their fears and angers are played out as they both struggle to capture one another. They fight back and forth and also play mind games with one another in order to gain the upper hand. Finally, they learn that in order to survive they must put aside their animosity and work together. They slowly become friends and grow to trust one another and work together to build a small raft to escape the island. The Cinematography and acting in the movie are top notch, the only complaint I have was the original ending, but I have heard the DVD comes with alternate endings. I was also pleasantly surprised that John Boorman directed this film. SEE THIS MOVIE!",4,Stereotypes are shattered in this WW2 classic. AMAZING!!,1092268800,"08 12, 2004",2004,1156,"['am', 'surprised', 'movie', 'not', 'more', 'well', 'known', 'just', 'happened', 'borrow', 'copy', 'VHS', 'aunt', 'movie', 'simply', 'blew', 'mind', 'side', 'WW2', 'really', 'blasts', 'apart', 'stereotypes', 'Japanese', 'soldier', 'portrayed', 'American', 'propaganda', 'films', 'also', 'American', 'soldier', 'many', 'Japanese', 'were', 'led', 'believe', 'movie', 'pretty', 'much', 'Lee', 'Marvin', 'crashes', 'ocean', 'somewhere', 'pacific', 'up', 'island', 'enemy', 'Japanese', 'soldier', 'fears', 'angers', 'are', 'played', 'out', 'struggle', 'capture', 'one', 'fight', 'back', 'forth', 'also', 'play', 'mind', 'games', 'one', 'order', 'gain', 'upper', 'hand', 'Finally', 'learn', 'order', 'survive', 'must', 'put', 'aside', 'animosity', 'work', 'together', 'slowly', 'become', 'friends', 'grow', 'trust', 'one', 'work', 'together', 'build', 'small', 'raft', 'escape', 'island', 'Cinematography', 'acting', 'movie', 'are', 'top', 'notch', 'only', 'complaint', 'have', 'was', 'original', 'ending', 'have', 'heard', 'DVD', 'alternate', 'endings', 'was', 'also', 'pleasantly', 'surprised', 'John', 'Boorman', 'directed', 'film', 'SEE', 'THIS', 'MOVIE']",N/A
2370,AUHG8KSHI529U,076400459X,Craig Matteson,"[0, 3]","This is both a serious movie and a parable.  Toshir Mifune plays Captain TsuruhikoKuroda, a proud Japanese Naval officer and Lee Marvin plays a downed American Pilot.  They both end up on a deserted small island.  They are mortal enemies, but somehow when you are both staring death in the face, it is easier to make common cause against it.  The story of the movie is how they overcome their hatred for each other (in the generic - wartime sense) to find a way to be found, signal for help, or get off the island somehow, someway.  Both actors are superb.The parable is appropriate for a world ravaged by two-world wars the previous sixty years and now facing nuclear annihilation.  We need to pull together or we will die at each other's through for no good reason.  While I don't want to reveal what happens, it is instructive how vanishing cooperation and friendship are once the immediate threat seems to be past.As I watched the movie, I could see how the Cast Away  and Enemy Mine both seemed to learn and use things from this film.I think it is a pretty good film that should be seen yet today.Reviewed by Craig Matteson, Ann Arbor, MI",4,Pull together or die apart together.,1215820800,"07 12, 2008",2008,1143,"['serious', 'movie', 'parable', 'Toshir', 'Mifune', 'Captain', 'TsuruhikoKuroda', 'proud', 'Japanese', 'Naval', 'officer', 'Lee', 'Marvin', 'downed', 'American', 'Pilot', 'end', 'up', 'deserted', 'small', 'island', 'are', 'mortal', 'enemies', 'somehow', 'when', 'are', 'staring', 'death', 'face', 'easier', 'make', 'common', 'cause', 'story', 'movie', 'how', 'overcome', 'hatred', 'other', 'generic', 'wartime', 'sense', 'find', 'way', 'be', 'found', 'signal', 'help', 'get', 'off', 'island', 'somehow', 'someway', 'actors', 'are', 'superb.The', 'parable', 'appropriate', 'world', 'ravaged', 'two-world', 'wars', 'previous', 'sixty', 'years', 'now', 'facing', 'nuclear', 'annihilation', 'need', 'pull', 'together', 'will', 'die', 'other', 'good', 'reason', 'do', ""n't"", 'want', 'reveal', 'what', 'instructive', 'how', 'vanishing', 'cooperation', 'friendship', 'are', 'once', 'immediate', 'threat', 'be', 'past.As', 'watched', 'movie', 'could', 'see', 'how', 'Cast', 'Away', 'Enemy', 'Mine', 'seemed', 'learn', 'use', 'things', 'film.I', 'think', 'pretty', 'good', 'film', 'should', 'be', 'seen', 'yet', 'today.Reviewed', 'Craig', 'Matteson', 'Ann', 'Arbor', 'MI']",N/A
2371,A2F3RCNSA28S0B,076400459X,"Dr. Alan D. Kardoff ""doctor k""","[0, 0]","I find Boorman's direction to be fantastic. As others note two military officers from opposite sides recognize each other. Mifune especially seeks with all his cunning to kill Marvin while the latter struggles very hard just to fill his canteen with drinking water. The tensions, very strong at the beginning slowly dissipate as both realize taking out eachother might be very difficult but via cooperation--even despite the language barriers--two heads can equal the results of three. Mifune showshis tenderness first. But both play outstanding roles. While trying to develop the peace, Marvin reads a military manual that mandates troops always to kill the enemy.  Their keen attention to the nonverbals, even as both seem not to be observing is a case study for those intererestedin interpersonal communication.  Marvin brings in new vitality once herecognizes there is bamboo on the island.  Yielding to each other ina collaborative manner, the raft is built and launched.  Then I got the impression they had to fight high waves without food on the ocean for perhaps four days. Both are exhausted. Discovering the new island is adream, that neither perhaps thought would occur.  They forage throughthe deserted military hospital, each finding things of special interest  and then dressed neatly as military professionals toast each othercountlessly with a big bottle of booze.  I wasn't ready for the end buttried to foresee possibilities.  For those who can take a movie with verylimited dialogue, scores of nonverbals and two superb actors, this movieis a must. Those who enjoy more group drama or romantic entertainment would be bored.  I am glad to have found this movie in my collection. The VHS version plays very well.",4,Powerful study & psychological drama but only two stars. Great for most.,1218067200,"08 7, 2008",2008,1729,"['find', 'Boorman', 'direction', 'be', 'fantastic', 'others', 'note', 'two', 'military', 'officers', 'opposite', 'sides', 'recognize', 'other', 'Mifune', 'especially', 'cunning', 'kill', 'Marvin', 'latter', 'struggles', 'very', 'hard', 'just', 'fill', 'canteen', 'drinking', 'water', 'tensions', 'very', 'strong', 'beginning', 'slowly', 'dissipate', 'realize', 'taking', 'out', 'eachother', 'might', 'be', 'very', 'difficult', 'cooperation', 'even', 'language', 'barriers', 'two', 'heads', 'can', 'equal', 'results', 'three', 'Mifune', 'showshis', 'tenderness', 'first', 'play', 'outstanding', 'roles', 'trying', 'develop', 'peace', 'Marvin', 'military', 'manual', 'troops', 'always', 'kill', 'enemy', 'keen', 'attention', 'nonverbals', 'even', 'seem', 'not', 'be', 'observing', 'case', 'study', 'intererestedin', 'interpersonal', 'communication', 'Marvin', 'new', 'vitality', 'once', 'bamboo', 'island', 'Yielding', 'other', 'ina', 'collaborative', 'manner', 'raft', 'built', 'launched', 'Then', 'got', 'impression', 'had', 'fight', 'high', 'waves', 'food', 'ocean', 'perhaps', 'four', 'days', 'are', 'exhausted', 'Discovering', 'new', 'island', 'adream', 'perhaps', 'thought', 'would', 'occur', 'forage', 'throughthe', 'deserted', 'military', 'hospital', 'finding', 'things', 'special', 'interest', 'then', 'dressed', 'neatly', 'military', 'professionals', 'toast', 'othercountlessly', 'big', 'bottle', 'booze', 'was', ""n't"", 'ready', 'end', 'buttried', 'foresee', 'possibilities', 'who', 'can', 'take', 'movie', 'verylimited', 'dialogue', 'scores', 'nonverbals', 'two', 'superb', 'actors', 'must', 'who', 'enjoy', 'more', 'group', 'drama', 'romantic', 'entertainment', 'would', 'be', 'bored', 'am', 'glad', 'have', 'found', 'movie', 'collection', 'VHS', 'version', 'very', 'well']",N/A
2372,AHU0J3VOEO1KY,076400459X,"Gengie ""genghizkhan66""","[10, 11]","Being a hardcore fan of movies from Japan and China, Hell in the pacific is one of the few American arthouse movies I now owned and it is an absolutely fantastic piece of work.Lee Marvin and Toshiro Mifune is absolutely terrific in this movie. Their chemistry is as perfect as the story is tense and an absolutely hilarious esp during the scenes when they try to out do each other in their &quot;turf fight&quot;. I crack up everytime each one of them mess up their  own dirty little wicked plan in the most humourous fashion.The cinematography is stunning and I really appreciate the alternate ending. I find the original ending really sucks big time.Still a solid 5 star for this movie. 2 stars for both actors, 1 star for the movie, 1 star for the cinematography and 1 star for the alternate ending. There you go, a 5 star pure cinematic genius. I am very very happy with this DVD.",5,A tense and comical classic!,991872000,"06 7, 2001",2001,884,"['Being', 'hardcore', 'fan', 'movies', 'Japan', 'China', 'Hell', 'pacific', 'one', 'few', 'American', 'movies', 'now', 'owned', 'absolutely', 'fantastic', 'piece', 'work.Lee', 'Marvin', 'Toshiro', 'Mifune', 'absolutely', 'terrific', 'movie', 'chemistry', 'as', 'perfect', 'story', 'tense', 'absolutely', 'hilarious', 'esp', 'scenes', 'when', 'try', 'out', 'do', 'other', 'quot', 'fight', 'quot', 'crack', 'up', 'everytime', 'one', 'mess', 'up', 'own', 'dirty', 'little', 'wicked', 'plan', 'most', 'humourous', 'fashion.The', 'cinematography', 'stunning', 'really', 'appreciate', 'alternate', 'ending', 'find', 'original', 'ending', 'really', 'big', 'time.Still', 'solid', '5', 'star', 'movie', '2', 'stars', 'actors', '1', 'star', 'movie', '1', 'star', 'cinematography', '1', 'star', 'alternate', 'ending', 'go', '5', 'star', 'pure', 'cinematic', 'genius', 'am', 'very', 'very', 'happy', 'DVD']",N/A
2373,A1HMBIRR0RJ1NI,076400459X,JAMES MCCORMICK,"[1, 1]","5 Stars = Masterpiece""Hell in the Pacific"" is one of the greatest movies of it's ilk. Can't even begin to remember the first time I watched it, most likely not long after it was made. A true portrait of two men fighting a war on opposite sides, that only know their on opposite sides, but find out what it is to know your opponent, who may not necessarily be your enemy.Essential veiwing",5,The Essence of being Human,1325980800,"01 8, 2012",2012,387,"['5', 'Stars', '=', 'Masterpiece', 'Hell', 'Pacific', 'one', 'greatest', 'movies', 'ilk', 'Ca', ""n't"", 'even', 'begin', 'remember', 'first', 'time', 'watched', 'most', 'likely', 'not', 'long', 'was', 'made', 'true', 'portrait', 'two', 'men', 'fighting', 'war', 'opposite', 'sides', 'only', 'know', 'opposite', 'sides', 'find', 'out', 'what', 'know', 'opponent', 'who', 'may', 'not', 'necessarily', 'be', 'enemy.Essential', 'veiwing']",N/A
2374,AD94D0QMN6A6G,076400459X,jblyn,"[4, 5]","For a 1968 Hollywood-bankrolled war movie, HELL IN THE PACIFIC was almost right up there with the best of ""foreign"" films of the Sixties. Featuring only two characters throughout---a Japanese officer and an American officer marooned together on a otherwise unpopulated Pacific island in 1944---the film puts us immediately into the difficulties facing the two men, who are enemies by their circumstances and literally cannot understand each other. The story of how they deal with their plight unfolds in ways that make perfect sense, and both Lee Marvin and Toshiro Mifune as the two exiles give performances that are both believable and affecting. In fact, the only thing that keeps this from being a five-star movie for me is the very end, which, as I suspected, was grafted on at the behest of the studio heads [cf, director John Boorman's autobiography, ADVENTURES OF A SUBURBAN BOY]. The original ending, included on this DVD release as a special feature, makes much more sense and would have been better. But up until then you're watching one of the best war movies ever made.",4,Hell of a good movie!,1151193600,"06 25, 2006",2006,1082,"['1968', 'Hollywood-bankrolled', 'war', 'movie', 'HELL', 'IN', 'THE', 'PACIFIC', 'was', 'almost', 'right', 'there', 'best', 'foreign', 'films', 'Sixties', 'Featuring', 'only', 'two', 'characters', '-a', 'Japanese', 'officer', 'American', 'officer', 'marooned', 'together', 'otherwise', 'unpopulated', 'Pacific', 'island', '1944', '-the', 'film', 'immediately', 'difficulties', 'facing', 'two', 'men', 'who', 'are', 'enemies', 'circumstances', 'literally', 'can', 'not', 'understand', 'other', 'story', 'how', 'deal', 'plight', 'unfolds', 'ways', 'make', 'perfect', 'sense', 'Lee', 'Marvin', 'Toshiro', 'Mifune', 'two', 'exiles', 'give', 'performances', 'are', 'believable', 'affecting', 'fact', 'only', 'thing', 'being', 'five-star', 'movie', 'very', 'end', 'suspected', 'was', 'grafted', 'behest', 'studio', 'heads', '[', 'cf', 'director', 'John', 'Boorman', 'autobiography', 'ADVENTURES', 'A', 'SUBURBAN', 'BOY', ']', 'original', 'ending', 'included', 'DVD', 'release', 'special', 'feature', 'much', 'more', 'sense', 'would', 'have', 'been', 'better', 'up', 'then', ""'re"", 'watching', 'one', 'best', 'war', 'movies', 'ever', 'made']",N/A
2375,A1B5VH79ZIKCC4,076400459X,Joseph C. Martinak,"[0, 0]","What's not to like? Except the ending...Jesus, who wrote that ending? Marvin a real Marine in WWII who actually killed Japanese on Guadalcanal as a 19 year old, played a total realistic part. Mifume, the greatest actor to ever come out of Japan plays a smart realistic soldier. I cannot add more that what others have written on here.",4,Marvin and Mifume!,1394064000,"03 6, 2014",2014,334,"['What', 'not', 'like', 'ending', 'Jesus', 'who', 'wrote', 'ending', 'Marvin', 'real', 'Marine', 'WWII', 'who', 'actually', 'killed', 'Japanese', 'Guadalcanal', '19', 'year', 'old', 'played', 'total', 'realistic', 'part', 'Mifume', 'greatest', 'actor', 'ever', 'come', 'Japan', 'smart', 'realistic', 'soldier', 'can', 'not', 'add', 'more', 'what', 'others', 'have', 'written', 'here']",N/A
